term|description|level|synonym|scale
tosga|ficar bêbado, beber de mais| calão|" bebedeira; carraspana; ramada; puta; piela; narsa; encher a cara; entornar o barril; entornar o
          caneco; ir a trocar o passo; lamber o garrafão; buba; derrubar a adega; estar com um grão na asa;
          estar com dois dedos de gramática; tomar um porre; encharcado"|2
toura|mulher ou rapariga muito jeitosa| calão| tuxa; mulher boa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho|2
transar|ter relações sexuais| calão||2
traque|saída de gazes intestinais| calão| peido; flatulência; bufa; farpa; pum; bombarda|2
trepar ao poste apalpar o cu às lâmpadas|estar em desespero sexual| calão carroceiro|none|3
treta|mentira, partida, brincadeira| coloquial| grupo; peta; patranha; reinação; bai no Batalha|1
trocar de time|mudar de sexo| calão carroceiro|none|3
tromba|designação pejorativa da cara de alguém| coloquial| focinho; ventas; fronha; cara|1
trombada|acto sexual oro-genital, lamber a vagina| calão muito carroceiro| minete; cunilingus; lamber-te; passar a casa a pano; felácio; broche feminino|4
trombeiro|pessoa que faz o cunnilingus| calão muito carroceiro| mineteiro|4
tuxa|mulher ou rapariga muito jeitosa| coloquial| toura; mulher boa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho|1
uma ova!|é um:| coloquial| o teu avô torto!; a tua avó torta; é o tanas!; tanas, badanas e barbatanas|1
um pijaminha de|retirar apenas uma amostra de vários elementos (tipicamente alimentos) | coloquial|none|1
unhas de fome|&bullet; pessoa muito agarrada ao dinheiro| calão|" avarento; sovina; forreta; futre; somítico; pelintra; agarrado; pão duro; pirangueiro; mão de vaca;
          murrinha"|2
vaca|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|2
vaca descomunal|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        "|2
vacão|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria;
          rameira"|2
vadia|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; oferecida; bicha de angola; galdéria;
          rameira"|2
vaginásio|zona ente a cona e o cu onde batem os testículos (não te espantes, usamos isto frequentemente) | calão estupidamente carroceiro|none|5
vai à berdamerda|é um:| calão carroceiro| ir à merda; mandar à outra banda; mandar abaixo de Braga|3
vai comer um balde de merda|é um:| calão muito carroceiro| vai comer um calhão|4
vai comer um calhão|é um:| calão muito carroceiro| vai comer um balde de merda|4
vai dar a volta ao bilhar grande|é um:| coloquial||1
vai fazer trapézio nos cornos do teu pai|é um:| calão carroceiro|none|3
vai mamar na quinta perna do burro!|forma agressiva e ordinária de hostilizar alguém| calão carroceiro|none|3
vai chatear o Camões!|é um:| coloquial||1
vai-te foder|é um:| calão carroceiro| monta-te num porco; vai ver se estou lá fora!|3
vale|espaço entre as bochechas do cu ou das mamas| calão| cangosta; rego|2
ventas|designação pejorativa da cara de alguém| coloquial| focinho; tromba; fronha; cara|1
verborreia|discurso vazio e de mau gosto| calão| não-sei-o-quê-não-sei-que-mais; botar faladura|2
verga|órgão sexual masculino, pénis, pênis| coloquial||1
vergalho|órgão sexual masculino, pénis, pênis| calão||2
vergar a mola|&bullet; iniciar um trabalho| coloquial|" pôr mãos à obra; meter ombros ao trabalho; lançar mãos ao arado; arregaçar as mangas; pegar o touro
          pelos cornos; encarar as coisas de frente"|1
viado|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
vígaro|diz-se da pessoa que engana ou tenta enganar| coloquial| endrómina|1
virar presunto|morreu, faleceu| calão|" bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; quinar; dar o peido mestre;
          dormir o sono eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; abotoar o paletó;
          entregar a alma a Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; partir
          deste mundo"|2
xana|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; aranha; fanesga; boca do corpo; snaita"|3
xarope de bengala|apanhar umas pauladas| coloquial| chá de marmeleiro|1
xarro|| coloquial| cavalo; heroína; charro|1
xibungo|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; abafa-palhinha; gay; bamby"|3
xilindró|cadeia| coloquial| pildra; choça; prisão; prisa; calabouço; masmorras; cárcere; xadrez|1
xulo|é um:| calão carroceiro|none|3
zuate|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| calão| bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro|2
