,term,description,level,synonym,scale
3745,morto de fome,patt:,none,none,0
3746,mostrar a porta da rua,&bullet; despedir,none,none,0
3747,mostrar as ferraduras,"fugir, afastar-se (de alguém ou de situação problemáticas) ", arcaico," dar ares de Vila Diogo; dar à sola; dar de frosques; dar de trancas; cavar; pirar-se; fugir; vazar;
          pôr-se no piro; pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a
          bulir; pôr-se a milhas; pôr-se a andar; cair fora; mandar-se; ralar peito; picar a mula;
          escafeder-se; acunhar; pisar fundo",0
3748,mostrar as unhas,assumir uma postura ameaçadora e crispada,none,none,0
3749,mostrar má cara,,none,none,0
3750,mostrar o jogo,,none,none,0
3751,motivo de força maior,"motivo forte, alheio à nossa vontade, incontrolável e inquestionável",none,none,0
3752,moufar,comer, coloquial, morfar; dar ao dente,1
3753,mouro,term depreciativo para designar os lisboetas e habitantes do sul, coloquial, sarraceno,1
3754,mover o céu e a terra,,none,none,0
3755,mudar a água às azeitonas,urinar,none,,0
3756,mudar de ares,ir para outro local,none,none,0
3757,mudar de roupa,,none,none,0
3758,de armas e bagagens,patt:,none,none,0
3759,muita parra e pouca uva,"diz-se quando após muita expectativa ou ameaça, ocorre apenas algo insignificante",none, montanha que pariu um rato,0
3760,muitíssimo,em grande quantidade,none,,0
3761,muito embora,,none,none,0
3762,muito meu,,none,none,0
3763,muito senhor do seu nariz,"orgulhoso, arrogante",none,none,0
3764,mula,"diz-se de alguém que tem muita experiência, que não se deixa enganar",none, raposa velha; matreiro; manhoso; mânfio,0
3765,mulher boa,mulher ou rapariga muito jeitosa, calão, toura; tuxa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho,2
3766,mulher da má vida,é um:,none," puta; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau porte; mulher de meia
          porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal; vacão;
          quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira",0
3767,mulher de mau porte,é um:,none," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de meia
          porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal; vacão;
          quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira",0
3768,mulher de meia porta,é um:,none," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal; vacão;
          quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira",0
3769,mulher devassa,é um:,none," puta; mulher da má vida; mulher da vida; mulher promíscua; coirão; mulher de mau porte; mulher de
          meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        ",0
3770,mulher a dias,mulher que faz limpezas e outros trabalhos domésticos,none, senhora da limpeza,0
3771,mulher da rua,patt:,none,none,0
3772,mulher da vida,é um:,none," puta; mulher da má vida; mulher devassa; mulher promíscua; coirão; mulher de mau porte; mulher de
          meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        ",0
3773,mulher pública,patt:,none,none,0
3774,mulher promíscua,é um:,none," puta; mulher da má vida; mulher da vida; mulher devassa; coirão; mulher de mau porte; mulher de
          meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca descomunal;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        ",0
3775,mundo cão,,none,none,0
3776,murrinha,&bullet; pessoa muito agarrada ao dinheiro,none," avarento; unhas de fome; sovina; forreta; futre; somítico; pelintra; agarrado; pão duro;
          pirangueiro; mão de vaca",0
3777,música pimba,,none,none,0
3778,n3,diz-se de um sítio muito longe,none," ficar lá para os quintos dos infernos; morar em casa do Diabo mais velho; cascos de rolha; ficar
          para lá do sol posto; mais longe que o caralho mais velho; onde o Diabo perdeu as botas; depois do
          fim do mundo; para lá de Santa Cona do Assobio; no meio de nenhures; onde Judas perdeu as botas",0
3779,na berlinda,,none,none,0
3780,na brasa,velozmente,none,none,0
3781,na calada da noite,"em segredo, de modo escondido",none, pela calada; cozido com as paredes,0
3782,na cara,,none,none,0
3783,na crista da onda,,none, na dianteira,0
3784,nada na manga,sem ocultar partes,none,none,0
3785,nadar como um prego,"não saber nadar, ir ao fundo imediatamente",none,none,0
3786,nadar contra a corrente,"agir contra a conjuntura, desfavoravelmente",none, nadar contra a maré; remar contra a maré,0
3787,nadar contra a maré,"agir contra a conjuntura, desfavoravelmente",none, nadar contra a corrente; remar contra a maré,0
3788,nadar em dinheiro,ser muito rico,none,none,0
3789,nadar em seco,,none,none,0
3790,nadegueiro,aquele que só pensa em rabos,none,none,0
3791,na dianteira,,none, na crista da onda,0
3792,nadinha de nada,"absolutamente nada, negar algo",none," neps; népia; nestes; nicles; bitocles; nicles de bitocles; nerones; coisa alguma; coisíssima
          nenhuma",0
3793,na flor da idade,juventude,none, na flor da vida,0
3794,na flor da vida,juventude,none, na flor da idade,0
3795,nagalho,fio,none, atilho,0
3796,na hora H,,none,none,0
3797,naifa,, coloquial, aço; fava; navalha; facalhão; ponta e mola,1
3798,naite,é um:,none," borga; paródia; pândega; trolaró; pagode; tainada; patuscada; comezaina; festarola; andar na
          boa-vai-ela; cópios",0
3799,na linha,,none,none,0
3800,na manga,,none,none,0
3801,na mão,,none,none,0
3802,na mecha,"rapidez, com elevada velocidade", coloquial, bolina; esgalha; gazonete; gáspea; bisga; estilha; ir nas horas do caralho,1
3803,na medida do possível,patt:,none,none,0
3804,na melhor das intenções,,none,none,0
3805,na moral,não há problema,none, tá-se bem; tudo jóia; tudo na boa; sem problema; tá limpeza,0
3806,nanha,"sémen, esperma", calão, esporra; langonho; beita; porra; meita,2
3807,não abrir a boca,&bullet; guardar segredo,none,none,0
3808,abrir o bico,&bullet; falar,none,none,0
3809,não acertar uma,não (fazer|dizer) nada acertado,none, não dar uma para a caixa,0
3810,não adianta chorar sobre o leite derramado,"não vale a pena lamentar-se de algo que já passou, que não volta atrás",none,none,0
3811,não aguentar a pedalada,"ficar para trás, não ter capacidade para algo",none,none,0
3812,não alinhar,"não aderir, não pactuar, não concordar",none, não dá!; não estar pelos ajustes,0
3813,não alterar uma vírgula,não mudar nada,none,none,0
3814,não aquece nem arrefece,&bullet; não valer nada,none, não dar conta de nada; não riscar; ser um zero à esquerda; ser um verbo de encher,0
3815,não aquecer o lugar,alguém que abandou ou foi despedido ao fim de muito pouco tempo,none,none,0
3816,não arredar pé,não abandondar um lugar,none, manter-se firme,0
3817,não ata nem desata,"ficar irresoluto, não andar em frente",none, sem atar nem desatar; não fode nem sai de cima,0
3818,não bater bem da bola,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; ter
          a rosca moída; bater mal da tola; não ser bom da cabeça",1
3819,bater mais no ceguinho,"&bullet; repisar sempre a mesma coisa, opinião, ideia para fazer prevalecer o que se diz (tendo ou
          não razão) ",none,none,0
3820,não beber chá em pequeno,,none, não ter tomado chá em pequeno,0
3821,não caber em si de contente,estar muito contente,none,none,0
3822,não caber na cova de um dente,&bullet; quantidade insuficiente,none, saber a pouco,0
3823,não cair em cesto roto,"teve consequência, não ficou esquecido",none,none,0
3824,não chegar a aquecer o lugar,ser despedido de um cargo logo no início,none,none,0
3825,não chegar a bom termo,"não se realizar, ao contrário do esperado",none, ficar em águas de bacalhau; acabar em pizza; dar em nada,0
3826,não chegar aos calcanhares,estar muito abaixo de algo,none,none,0
3827,não chegar para as encomendas,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não dar vazão; não dar saída; não dar conta do recado; não saber para onde se voltar;
          andar em pancas",0
3828,não conseguir pregar olho,não dormir,none, não pregar olho,0
3829,não cuspir para o ar,"dizer mal dos outros, caluniar publicamente",none,none,0
3830,não dá!,"não aderir, não pactuar, não concordar",none, não estar pelos ajustes; não alinhar,0
3831,não dá para entender,algo que não é aceitável,none,none,0
3832,não dar bola,"&bullet; dar conversa, responder",none, dar troco,0
3833,não dar conta de nada,&bullet; não valer nada,none, não aquece nem arrefece; não riscar; ser um zero à esquerda; ser um verbo de encher,0
3834,não dar conta do recado,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não chegar para as encomendas; não dar vazão; não dar saída; não saber para onde se
          voltar; andar em pancas",0
3835,não dar pica,"emoção, vontade", calão, tesão,2
3836,não dar uma para a caixa,não (fazer|dizer) nada acertado,none, não acertar uma,0
3837,não dar o braço a torcer,&bullet; não querer dar razão ao adversário,none,none,0
3838,não dar ouvidos,não prestar atenção,none,none,0
3839,não dar palavra,&bullet; guardar segredo,none, não dizer palavra; não dar pio,0
3840,não dar parte de fraco,não mostrar as suas fraquezas,none,none,0
3841,não dar pio,&bullet; guardar segredo,none, não dar palavra; não dizer palavra,0
3842,não dar ponto sem nó,&bullet; intuitos interesseiros,none,none,0
3843,não dar saída,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não chegar para as encomendas; não dar vazão; não dar conta do recado; não saber para
          onde se voltar; andar em pancas",0
3844,não dar sinal de si,,none,none,0
3845,não dar tréguas,,none,none,0
3846,não dar vazão,"&bullet; ter menos apetite do que inicialmente aparentava, deixar comida no prato",none, ter mais olhos que barriga,0
3847,não dar vazão,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não chegar para as encomendas; não dar saída; não dar conta do recado; não saber para
          onde se voltar; andar em pancas",0
3848,não deixar fazer o ninho atrás da orelha,,none,none,0
3849,não deixar pedra sobre pedra,ficar tudo destruído,none,none,0
3850,não deixar o crédito por mãos alheias,,none,none,0
3851,não despegar,,none,none,0
3852,não diz a bota com a perdigota,"coisa, actividade ou discurso sem coerência",none, não diz a cara com a careta; não diz o cu com as calças,0
3853,não diz a cara com a careta,"coisa, actividade ou discurso sem coerência",none, não diz a bota com a perdigota; não diz o cu com as calças,0
3854,não dizer coisa com coisa,&bullet; atrapalhar-se e perder a capacidade de resposta,none, meter os pés pelas mãos; trocar os pés pelas mãos,0
3855,não dizer nem uma nem duas,,none,none,0
3856,não dizer palavra,&bullet; guardar segredo,none, não dar palavra; não dar pio,0
3857,não diz o cu com as calças,"coisa, actividade ou discurso sem coerência",none, não diz a cara com a careta; não diz a bota com a perdigota,0
3858,não é cedo nem é tarde,altura ideal,none,none,0
3859,não enche o saco!,é um:, calão," ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; chupa-mos!; ir para a
          puta que o pariu!",2
3860,não entender patavina,&bullet; não entender nada,none, não perceber peva; não perceber um boi de; ser chinês; ainda não caiu a ficha,0
3861,não é por aí que o gato vai aos filhós,não é por causa disso que iremos ter problemas graves,none, ir o gato às filhós,0
3862,não é por aí que o gato vai às filhoses,,none,none,0
3863,não está mais aqui quem falou,"dar razão ao interlocutor, retirando as objeções previamente levantadas",none, já aqui não está quem falou; retiro o que disse,0
3864,não estar muito católico,"&bullet; não corresponde ao normal, ao habitual, ao esperado",none, não estar nos seus dias,0
3865,não estar bom da cabeça,patt:,none,none,0
3866,não estar com meias medidas,,none,none,0
3867,não estar em si,,none,none,0
3868,não estar nas nossas mãos,,none,none,0
3869,não estar nos seus dias,"&bullet; não corresponde ao normal, ao habitual, ao esperado",none, não estar muito católico,0
3870,não estar para aí virado,,none,none,0
3871,não estar pelos ajustes,"não aderir, não pactuar, não concordar",none, não dá!; não alinhar,0
3872,não estar grande coisa,está fracote,none,none,0
3873,não é tarde nem é cedo,"é o preciso momento, é agora mesmo",none,none,0
3874,não faltava mais nada!,exclamação de negação e recusa,none,none,0
3875,não fazer a mais pálida ideia,ignorar completamente e não querer esconder esse facto,none, não fazer a mínima ideia; não fazer puto de ideia,0
3876,não fazer a mínima ideia,ignorar completamente e não querer esconder esse facto,none, não fazer a mais pálida ideia; não fazer puto de ideia,0
3877,não fazer a ponta de um corno,não fazer nada de útil, coloquial, andar a coçar os colhões,1
3878,não fazer farinha,,none,none,0
3879,não fazer mal a uma mosca,patt:,none,none,0
3880,não fazer milagres,,none,none,0
3881,não fazer mossa,"não causou danos, não teve consequências graves",none,none,0
3882,não fazer nenhum,ser muito perguiçoso, coloquial,,1
3883,não fazer nestum,não fazer nada, coloquial,,1
3884,não fazer ondas,,none,none,0
3885,não fazer por menos,,none,none,0
3886,não fazer puto de ideia,ignorar completamente e não querer esconder esse facto,none, não fazer a mais pálida ideia; não fazer a mínima ideia,0
3887,não fazer a ponta de um corno,não fazer nada, coloquial,,1
3888,não fazer um chavelho,não fazer nada, coloquial,,1
3889,não fechar portas,viabilizar futuros contactos,none, deixar a porta aberta,0
3890,não ficar a dever nada,,none,none,0
3891,não fode nem sai de cima,"ficar irresoluto, não andar em frente", calão carroceiro, não ata nem desata; sem atar nem desatar,3
3892,não foi pelos meus lindos olhos,patt:,none,none,0
3893,não ganhar p'ro susto,,none,none,0
3894,não gostas? azar!,resposta a alguém que não gosta ou que reclama de algo,none," não gostas? não comas!; não gostas, põe na borda do prato!",0
3895,não gostas? não comas!,resposta a alguém que não gosta ou que reclama de algo,none," não gostas? azar!; não gostas, põe na borda do prato!",0
3896,"não gostas, põe na borda do prato!",resposta a alguém que não gosta ou que reclama de algo,none, não gostas? azar!; não gostas? não comas!,0
3897,não gramar,não gostar de pessoa ou situação,none, não morrer de amores,0
3898,não há azar,tudo bem,none, não há espiga; não há problema,0
3899,não há bela sem senão,"não há pessoas perfeitas, não há escolhas perfeitas",none,none,0
3900,não há duas sem três,,none,none,0
3901,não há uma saída airosa,ser penalizado qualquer que seja o acção tomada,none, preso por ter cão e preso por não ter,0
3902,não há espiga,tudo bem,none, não há azar; não há problema,0
3903,não há fumo sem fogo,,none,none,0
3904,não há mas nem meio mas,,none,none,0
3905,não há meio,,none,none,0
3906,não há nada para ninguém,negativa incondicional geral,none, não há santo que lhe valha,0
3907,não há pachorra!,"estar completamente farto, estar com a paciência esgotada",none," estar pelos cabelos; estar farto de; já não aguento mais!; farto até às orelhas; é de fazer perder
          a paciência a um santo; perder a paciência",0
3908,não há pai,,none,none,0
3909,não há problema,tudo bem,none, não há azar; não há espiga,0
3910,não há que fiar,,none,none,0
3911,não há quem ponha os olhos nele,"está sempre fora, anda desaparecido",none,none,0
3912,não há santo que lhe valha,negativa incondicional geral,none, não há nada para ninguém,0
3913,não interessa nem ao Menino Jesus,não interessa a ninguém,none,none,0
3914,,antipatizar com alguém (às vezes sem grande motivo racional) ,none,,0
3915,não ir em cantigas,não se deixar enganar,none,none,0
3916,não ir lá com duas cantigas,não é actividade fácil,none,none,0
3917,não ir longe,patt:,none,none,0
3918,não lembra ao careca,"ideia, solução ou argumento rebuscado, resultado de fértil imaginação, inapropriado ou fora do
          contexto",none, essa não lembra ao Diabo; não passar pela cabeça; não lembrar a ninguém,0
3919,não lembrar a ninguém,"ideia, solução ou argumento rebuscado, resultado de fértil imaginação, inapropriado ou fora do
          contexto",none, essa não lembra ao Diabo; não passar pela cabeça; não lembra ao careca,0
3920,não levantar objeções,"embora seja questionável, não pôr em causa",none, dar de barato,0
3921,não levantar uma palha,"não fazer nada, não ajudar, não trabalhar",none, não mexer uma palha,0
3922,não levantar um dedo,ex.:,none,none,0
3923,não leves a sério,&bullet; não tem importância,none, não quer dizer nada,0
3924,não lhe chegar aos calcanhares,ser muito inferior,none,none,0
3925,não lhe gabo o gosto,diz-se a alguém que faz uma péssima escolha,none,none,0
3926,não lhe queria estar na pele,não queria estar na situação dele,none,none,0
3927,não lhe tocar nem com um dedo,,none,none,0
3928,não ligar nada a,"&bullet; não se interessar, atitude de indiferença",none,,0
3929,não ligar,"&bullet; não se interessar, atitude de indiferença",none,,0
3930,não mata mas mói,"reclamar de uma situação que incomoda, irrita",none, não matam mas moem,0
3931,não matam mas moem,"reclamar de uma situação que incomoda, irrita",none, não mata mas mói,0
3932,não me caem os parentes na lama,"tipicamente usado quando alguém que se acha superior aos outros, usa argumentos de reputação e de
          status como desculpa para não realizar certas tarefas",none,none,0
3933,não me deixa mentir,patt:,none,none,0
3934,não me gozes!,vai gozar com outra pessoa,none, vai gozar com a tua avó torta,0
3935,não me lixem!,,none,none,0
3936,não me sair da cabeça,patt:,none,none,0
3937,não me põe a vista em cima,patt:,none,none,0
3938,não me venhas lá com essa,,none,none,0
3939,não mexer uma palha,"não fazer nada, não ajudar, não trabalhar",none, não levantar uma palha,0
3940,não mexer um pé sem pedir licença ao outro,,none,none,0
3941,não morrer de amores,não gostar de pessoa ou situação,none, não gramar,0
3942,não mostrar os dentes,"não sorrir, estar de mau humor",none,none,0
3943,não nasci hoje,,none, não nasci ontem,0
3944,não nasci ontem,,none, não nasci hoje,0
3945,não olhar a despesas,,none,none,0
3946,não passar cartão,não ligar nada a alguém,none,none,0
3947,não passar de,,none,none,0
3948,não passar pela cabeça,"ideia, solução ou argumento rebuscado, resultado de fértil imaginação, inapropriado ou fora do
          contexto",none, essa não lembra ao Diabo; não lembra ao careca; não lembrar a ninguém,0
3949,não passar da cepa torta,"não avançar, não progredir",none, trocar seis por meia-dúzia,0
3950,não perceber peva,&bullet; não entender nada,none, não perceber um boi de; ser chinês; ainda não caiu a ficha; não entender patavina,0
3951,não perceber um boi de,&bullet; não entender nada,none, não perceber peva; ser chinês; ainda não caiu a ficha; não entender patavina,0
3952,não perder o comboio,continuar* a acompanhar,none,none,0
3953,não perder pela demora,"aviso, ameaça",none, deixa-os pousar,0
3954,não perder pitada,,none,none,0
3955,não pies,é um:,none, achandrar-se; baixar a bola; fica caladinho,0
3956,,antipatizar com alguém (às vezes sem grande motivo racional) ,none,,0
3957,não poder com uma gata pelo rabo,&bullet; estar completamente exausto,none," aguentar-se nas canetas; aguentar-se nas canelas; não se ter em pé; não se ter nas canetas; não se
          ter nas pernas; mais morto que vivo",0
3958,não poder deixar de ser,,none,none,0
3959,não poder vê-lo nem pintado,detestar alguém,none,,0
3960,não poder ver,,none,none,0
3961,não pode ser nada,,none,none,0
3962,não pôr lá os pés,não comparecer,none,none,0
3963,não pôr as mãos no fogo,não garantir,none,none,0
3964,não pôr pé em ramo verde,patt:,none,none,0
3965,não poupar ninguém,,none,none,0
3966,não pregar olho,não dormir,none, não conseguir pregar olho,0
3967,não prestar para nada,coisa de muito fraca qualidade,none,none,0
3968,não quer dizer nada,&bullet; não tem importância,none, não leves a sério,0
3969,não querer nem dado,,none,none,0
3970,não querer outra vida,,none,none,0
3971,não regular,,none,none,0
3972,não resta a menor dúvida,,none,none,0
3973,não riscar,&bullet; não valer nada,none, não aquece nem arrefece; não dar conta de nada; ser um zero à esquerda; ser um verbo de encher,0
3974,não saber a quantas andar!,"estar deslocado, perdido, desorientado",none,none,0
3975,não saber da missa a metade,desconhecer a maior parte dos factos,none, às cegas,0
3976,não saber nicles,não saber nada,none,none,0
3977,não saber onde se meter,estar em situação muito embaraçosa,none,none,0
3978,não saber para onde se voltar,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não chegar para as encomendas; não dar vazão; não dar saída; não dar conta do recado;
          andar em pancas",0
3979,não saber de que terra é,&bullet; totalmente descontrolado ou desorientado,none,none,0
3980,não sair debaixo das saias da mãe,"ser muito mimado, ser pouco independente",none,none,0
3981,não se dar por achado,patt:,none,none,0
3982,não se deixar comer por parvo,patt:,none,none,0
3983,não se descoser,,none,none,0
3984,"Não sei, não quero saber e tenho raiva de quem sabe",expressão de distanciamento assumido e desprezo perante uma situação,none,none,0
3985,não sei o que dizer,,none,none,0
3986,não-sei-o-quê-não-sei-que-mais,discurso vazio e de mau gosto,none, verborreia; botar faladura,0
3987,não-sei-quê,pronome de emergência utilizado quando não aparece a palavra correcta,none, coiso; coisinho,0
3988,não sei que bicho lhe mordeu,usa-se quando alguém apresenta um comportamente mal disposto não habitual,none, acordar com os pés de fora,0
3989,não sei se me entende!,,none,none,0
3990,não dar cavaco,"não responder, não informar",none,none,0
3991,não ser ouvido nem achado,não foi consultado,none,none,0
3992,não ter onde cair morto,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter com que mandar cantar um cego; não ter eira nem beira; sem
          eira nem beira; não ter vagar; não ter plafont; estar liso; não ter cinco reis",0
3993,não se ouvir nem uma mosca,silêncio absoluto e embaraçoso,none,none,0
3994,agradar a gregos a troianos,impossibilidade de agradar a todos...,none,none,0
3995,não se podem fazer omeletes sem ovos,diz-se quando não estão reunidas as condições mínimas para a realização de algo,none,none,0
3996,não se ter em pé,&bullet; estar completamente exausto,none," aguentar-se nas canetas; aguentar-se nas canelas; não se ter nas canetas; não se ter nas pernas;
          mais morto que vivo; não poder com uma gata pelo rabo",0
3997,não se ralar,,none,,0
3998,não ser a minha praia,"não entendo nada desse assunto, a minha especialidade é outra",none, eu é mais bolos...,0
3999,não ser boa praça,,none, não ser boa rês; não ser de confiança,0
4000,não ser boa rês,,none, não ser boa praça; não ser de confiança,0
4001,não ser bom da cabeça,"ser ou parecer maluco, apresentar comportamentos completamente irracionais",none," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; ter
          a rosca moída; não bater bem da bola; bater mal da tola",0
4002,não ser bom de assoar,pessoa de difícil trato,none, mau feitio; ter maus fígados,0
4003,não ser certo,patt:,none,none,0
4004,não ser da sua conta,não é assunto que te diga respeito,none,none,0
4005,não ser de cerimónia,,none,none,0
4006,não ser de confiança,,none, não ser boa praça; não ser boa rês,0
4007,não ser flor que se cheire,alguém perigoso e traiçoeiro em quem não se pode confiar,none,none,0
4008,não ser morte de homem,não tem muita importância,none,none,0
4009,nada por aí além,nada de importância,none,none,0
4010,não ser nariz de santo,está muito bem assim!,none,none,0
4011,não ser para graças,ser um problema ou um adversário díficil e indimidador,none,none,0
4012,não ser pêra doce,&bullet; ser difícil,none, ser um osso duro de roer; ser dose; ser um pé no saco,0
4013,não ser um picuinhas,alguém muito implicativo e que olhe demasiado aos detalhes, coloquial, caquenha; coca-bichinhos,1
4014,não ser um mar de rosas,não ser tão fácil e agradável como se esperava,none,none,0
4015,não serve de nada,é uma iniciativa inútil,none,none,0
4016,não serve para nada,é uma coisa ou atividade inútil,none,none,0
4017,não se safar,&bullet; morrer,none, não ter safa,0
4018,não se ter nas canetas,&bullet; estar completamente exausto,none," aguentar-se nas canetas; aguentar-se nas canelas; não se ter em pé; não se ter nas pernas; mais
          morto que vivo; não poder com uma gata pelo rabo",0
4019,não se ter nas pernas,&bullet; estar completamente exausto,none," aguentar-se nas canetas; aguentar-se nas canelas; não se ter em pé; não se ter nas canetas; mais
          morto que vivo; não poder com uma gata pelo rabo",0
4020,não se ver vivalma,não havia ninguém,none,none,0
4021,não te arrelies,"não te preocupes, não te apoquentes",none, não te rales,0
4022,não te estiques,"diz-se quando alguém que está a abusar, ou ameaça abusar",none," mama mas não abuses; estar a vontadinha; hoje não é o dia mundial do elástico!; estás-te a esticar
        ",0
4023,não tem de quê,resposta educada a um agradecimento,none,none,0
4024,não te rales,"não te preocupes, não te apoquentes",none, não te arrelies,0
4025,não ter cinco reis,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter onde cair morto; não ter com que mandar cantar um cego;
          não ter eira nem beira; sem eira nem beira; não ter vagar; não ter plafont; estar liso",0
4026,não ter com que comprar os melões,"&bullet; sem dinheiro, a mendigar", coloquial," andar ó tio ó tio; sem cheta; uma mão atrás e outra à frente; andar nas lonas; estar à dependura;
          sem um tusto; estar na merda; estar liso; estar teso; teso como um carapau; pedinchar; andar a pedir
          esmola; andar à moina; voar baixinho",1
4027,não ter com que mandar cantar um cego,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter onde cair morto; não ter eira nem beira; sem eira nem
          beira; não ter vagar; não ter plafont; estar liso; não ter cinco reis",0
4028,não ter eira nem beira,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter onde cair morto; não ter com que mandar cantar um cego;
          sem eira nem beira; não ter vagar; não ter plafont; estar liso; não ter cinco reis",0
4029,não ter em grande conta,ter má impressão de algo ou alguém,none,none,0
4030,não ter encomendado o sermão,não me venhas criticar,none,none,0
4031,não ter vergonha na cara,ter muito descaramento,none, tem cá uma lata!,0
4032,não ter mãos a medir,ter muito que fazer,none,none,0
4033,não ter plafont,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter onde cair morto; não ter com que mandar cantar um cego;
          não ter eira nem beira; sem eira nem beira; não ter vagar; estar liso; não ter cinco reis",0
4034,não ter nada a ver,não existe relação entre,none,none,0
4035,não ter nada com isso,,none,none,0
4036,não ter nada na manga,não estar a ocultar nada,none,none,0
4037,não ter népia,não ter dinheiro nenhum,none," não ter um chavo; não ter onde cair morto; não ter com que mandar cantar um cego; não ter eira nem
          beira; sem eira nem beira; não ter vagar; não ter plafont; estar liso; não ter cinco reis",0
4038,não ter pachorra,"diz-se ao virar costas perante actividades irrelevantes, inconsequentes",none, ter mais que fazer,0
4039,não ter pernas,quebra física em actividade desportiva,none, encostar às boxes; bater na parede; dar o rebenta,0
4040,não ter por onde se lhe pegue,,none,none,0
4041,não ter que ver o cu com as calças,não ter nada a ver com o assunto em causa,none, o que é que o cu tem a ver com calças?,0
4042,não ter rei nem roque,,none,none,0
4043,não ter safa,&bullet; morrer,none, não se safar,0
4044,não ter pés nem cabeça,sem qualquer valor nem senso,none, sem ponta por onde se lhe pegue; não ter nada que se aproveite,0
4045,não ter nada que se aproveite,sem qualquer valor nem senso,none, não ter pés nem cabeça; sem ponta por onde se lhe pegue,0
4046,não ter tomado chá em pequeno,,none, não beber chá em pequeno,0
4047,não ter um chavo,não ter dinheiro nenhum,none," não ter népia; não ter onde cair morto; não ter com que mandar cantar um cego; não ter eira nem
          beira; sem eira nem beira; não ter vagar; não ter plafont; estar liso; não ter cinco reis",0
4048,não ter unhas,,none,none,0
4049,não ter vagar,não ter dinheiro nenhum,none," não ter um chavo; não ter népia; não ter onde cair morto; não ter com que mandar cantar um cego;
          não ter eira nem beira; sem eira nem beira; não ter plafont; estar liso; não ter cinco reis",0
4050,não ter vintém,,none,none,0
4051,não ter voto na matéria,não ter capacidade ou permissão de discutir algo,none, não ter voz activa,0
4052,não ter voz activa,não ter capacidade ou permissão de discutir algo,none, não ter voto na matéria,0
4053,não tinha mais que fazer!,,none,none,0
4054,não tirar os olhos de,,none,none,0
4055,não tugir nem mugir,não dizer nada (devido a alguma situação embaraçosa) ,none, entrar mudo e sair calado; piar baixinho,0
4056,não valer a pena,não compensa,none, adiantar um grosso,0
4057,não valer dois caracóis,não vale nada,none, não valer um chavo; não valer um pataco; não valer um tostão furado,0
4058,não valer um chavo,não vale nada,none, não valer dois caracóis; não valer um pataco; não valer um tostão furado,0
4059,não valer um pataco,não vale nada,none, não valer dois caracóis; não valer um chavo; não valer um tostão furado,0
4060,não valer um tostão furado,não vale nada,none, não valer dois caracóis; não valer um chavo; não valer um pataco,0
4061,não vá o Diabo tecê-las,,none,none,0
4062,não ver bóia,não ver nada,none, não ver népia; não ver um palmo à frente do nariz,0
